Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
0.2385698,0.272470076,0.07192431,0.178411335,0.051373849,0.350589182,0.015636389
0.538690829,0.437214547,0.137497398,0.147047871,0.033544019,0.382239068,0.030141247
0.59813479,0.52583308,0.157414179,0.186461262,0.099613765,0.507424866,0.081788464
0.403590609,0.421122402,0.112013803,0.229541194,0.232530618,0.424356377,0.044861394
0.60207154,0.522029748,0.317528361,0.089612391,0.133080862,0.381053973,0.069966395
0.277907178,0.353532873,0.158155956,0.02963887,0.093309575,0.207183469,0.040120501
0.257067008,0.325563629,0.086810722,0.113742471,0.134414102,0.241263793,0.031209881
0.481576946,0.41874088,0.277474751,0.049177533,0.174446146,0.299951808,0.0462805
0.253248619,0.270244834,0.186005844,0.023103059,0.051573062,0.254597145,0.016201803
0.377398791,0.589877673,0.800957755,0.921066697,0.01994819,1,0.050161331
0.260047493,0.334343584,0.083838261,0.127904411,0.153605292,0.271061746,0.034962042
0.449276672,0.316925714,0.284140256,0.084393464,0.029139694,0.501879815,0.016741791
0.056773971,0.148726424,0.006308515,0.13947805,0.044323864,0.181472506,0.006002312
0.299341774,0.323694971,0.295349581,0.003937518,0.062866917,0.248677056,0.026912186
0.290049776,0.395870627,0.06180287,0.230901594,0.191445231,0.343204242,0.053378252
0.365241014,0.312745937,0.318079183,0.014839375,0.031976263,0.348099669,0.018019357
0.299560252,0.360538943,0.230914599,0.009139828,0.101887287,0.264174362,0.040596614
0.476965187,0.458306866,0.263030087,0.096919458,0.280212794,0.466767927,0.056255639
0.094984984,0.232470901,0.011910541,0.186708151,0.084757376,0.273708788,0.015575952
0.708038441,0.590559515,0.246027941,0.202076738,0.120017031,0.438685875,0.111828897
0.228573898,0.259282018,0.157954629,0.019619255,0.079894036,0.130427201,0.018078045
0.461138553,0.430343924,0.141292708,0.101183534,0.113775112,0.404661552,0.056690514
0.405256325,0.33616963,0.194926314,0.075984275,0.021690635,0.361085552,0.016680346
0.078273581,0.144461551,0.031416782,0.149914063,0.062288127,0.195793516,0.00438818
0.24650869,0.259505797,0.123969002,0.047825163,0.064510437,0.217395039,0.015177933
0.47495233,0.305755865,0.313640005,0.050476336,0.096176308,0.383341658,0.010331274
0.776181065,0.635847031,0.415311901,0.366074906,0.490042578,0.725070458,0.147438881
0.791705428,0.812237304,0.678939293,0.74998063,0.543617145,0.885243218,0.26986582
0.343144113,0.317361272,0.272651807,0.030504975,0.0956695,0.293199527,0.019301508
0.236574093,0.220634319,0.137422753,0.040166296,0.036477902,0.147167117,0.010613163
0.229669563,0.059461773,0.157369371,0.058039284,0.026232592,0.344551903,0.000734822
0.269918744,0.232520773,0.192103916,0.024455952,0.023458818,0.230836512,0.008096591
0.211876295,0.187380706,0.121115483,0.056034819,0.08247493,0.152098225,0.007409526
0.793887563,0.858039909,0.813812471,0.592406026,0.324044311,0.894676148,0.580121515
0.025397037,0.111426838,0.001299242,0.142879037,0.035672704,0.17111026,0.004137827
0.519418994,0.167707781,0.140777141,0.338400507,0.036934184,0.344585065,0.002113924
0.546608012,0.461687169,0.262567736,0.060479829,0.097197993,0.403316852,0.062575619
0.210556614,0.175996283,0.083962221,0.133241205,0.064156967,0.343343417,0.005031903
0.483661921,0.428586832,0.287136969,0.05646045,0.055120326,0.376025479,0.050855553
0.525520129,0.448924394,0.267830534,0.06209241,0.10770373,0.308407987,0.053101367
0.293302878,0.321185714,0.131366359,0.100190817,0.083076671,0.369614219,0.023725913
0.68366587,0.819964342,0.868893031,1,0.524553295,0.953102586,0.215032986
0.369984999,0.201598241,0.354594348,0.03205961,0.012419135,0.11097318,0.004459296
0.427971996,0.360475029,0.225199218,0.327514763,0.02505954,0.594670777,0.023944369
0.379630061,0.338364724,0.171621629,0.043032555,0.046134152,0.219648973,0.021347546
0.922608966,0.782643719,0.732706234,0.649613068,0.561817029,0.81060022,0.259204303
