Obj1,Obj2
0,1
0.0084176,0.82492
0.015766,0.76464
0.022566,0.72212
0.028988,0.68847
0.035122,0.6603
0.041027,0.63592
0.046743,0.61434
0.0523,0.59492
0.057722,0.57722
0.063026,0.56093
0.068227,0.54582
0.07334,0.53171
0.078373,0.51847
0.083337,0.50597
0.088239,0.49414
0.093086,0.48289
0.097885,0.47215
0.10264,0.46189
0.10736,0.45204
0.11205,0.44258
0.1167,0.43347
0.12133,0.42467
0.12595,0.41617
0.13054,0.40794
0.13512,0.39995
0.13969,0.39219
0.14424,0.38465
0.1488,0.37731
0.15335,0.37015
0.1579,0.36317
0.16245,0.35635
0.16701,0.34967
0.17157,0.34315
0.17615,0.33675
0.18073,0.33048
0.18533,0.32433
0.18995,0.31829
0.19458,0.31235
0.19924,0.30652
0.20392,0.30078
0.20862,0.29512
0.21335,0.28955
0.21812,0.28406
0.22291,0.27864
0.22774,0.27329
0.23261,0.26801
0.23753,0.26279
0.24248,0.25763
0.24748,0.25253
0.25253,0.24748
0.25763,0.24248
0.26279,0.23753
0.26801,0.23261
0.27329,0.22774
0.27864,0.22291
0.28406,0.21812
0.28955,0.21335
0.29512,0.20862
0.30078,0.20392
0.30652,0.19924
0.31235,0.19458
0.31829,0.18995
0.32433,0.18533
0.33048,0.18073
0.33675,0.17615
0.34315,0.17157
0.34967,0.16701
0.35635,0.16245
0.36317,0.1579
0.37015,0.15335
0.37731,0.1488
0.38465,0.14424
0.39219,0.13969
0.39995,0.13512
0.40794,0.13054
0.41617,0.12595
0.42467,0.12133
0.43347,0.1167
0.44258,0.11205
0.45204,0.10736
0.46189,0.10264
0.47215,0.097885
0.48289,0.093086
0.49414,0.088239
0.50597,0.083337
0.51847,0.078373
0.53171,0.07334
0.54582,0.068227
0.56093,0.063026
0.57722,0.057722
0.59492,0.0523
0.61434,0.046743
0.63592,0.041027
0.6603,0.035122
0.68847,0.028988
0.72212,0.022566
0.76464,0.015766
0.82492,0.0084176
1,0
