Obj1,Obj2,Obj3
0,0,1
0,0.038101,0.64771
0,0.068227,0.54582
0,0.095492,0.47746
0,0.12133,0.42467
0,0.14652,0.38096
0,0.17157,0.34315
0,0.19691,0.30942
0,0.22291,0.27864
0,0.25,0.25
0,0.27864,0.22291
0,0.30942,0.19691
0,0.34315,0.17157
0,0.38096,0.14652
0,0.42467,0.12133
0,0.47746,0.095492
0,0.54582,0.068227
0,0.64771,0.038101
0,1,0
0.038101,0,0.64771
0.027778,0.027778,0.44444
0.025298,0.050596,0.37947
0.023861,0.071584,0.33406
0.022918,0.091673,0.29794
0.022276,0.11138,0.26731
0.021843,0.13106,0.24028
0.021575,0.15103,0.21575
0.021447,0.17157,0.19302
0.021447,0.19302,0.17157
0.021575,0.21575,0.15103
0.021843,0.24028,0.13106
0.022276,0.26731,0.11138
0.022918,0.29794,0.091673
0.023861,0.33406,0.071584
0.025298,0.37947,0.050596
0.027778,0.44444,0.027778
0.038101,0.64771,0
0.068227,0,0.54582
0.050596,0.025298,0.37947
0.046333,0.046333,0.32433
0.043872,0.065808,0.28517
0.042273,0.084547,0.25364
0.041205,0.10301,0.22663
0.040515,0.12155,0.20258
0.040126,0.14044,0.18057
0.04,0.16,0.16
0.040126,0.18057,0.14044
0.040515,0.20258,0.12155
0.041205,0.22663,0.10301
0.042273,0.25364,0.084547
0.043872,0.28517,0.065808
0.046333,0.32433,0.046333
0.050596,0.37947,0.025298
0.068227,0.54582,0
0.095492,0,0.47746
0.071584,0.023861,0.33406
0.065808,0.043872,0.28517
0.0625,0.0625,0.25
0.060382,0.080509,0.2214
0.059006,0.098343,0.19669
0.058168,0.11634,0.1745
0.05777,0.1348,0.15405
0.05777,0.15405,0.1348
0.058168,0.1745,0.11634
0.059006,0.19669,0.098343
0.060382,0.2214,0.080509
0.0625,0.25,0.0625
0.065808,0.28517,0.043872
0.071584,0.33406,0.023861
0.095492,0.47746,0
0.12133,0,0.42467
0.091673,0.022918,0.29794
0.084547,0.042273,0.25364
0.080509,0.060382,0.2214
0.077975,0.077975,0.19494
0.076393,0.095492,0.17188
0.075517,0.11328,0.15103
0.075236,0.13166,0.13166
0.075517,0.15103,0.11328
0.076393,0.17188,0.095492
0.077975,0.19494,0.077975
0.080509,0.2214,0.060382
0.084547,0.25364,0.042273
0.091673,0.29794,0.022918
0.12133,0.42467,0
0.14652,0,0.38096
0.11138,0.022276,0.26731
0.10301,0.041205,0.22663
0.098343,0.059006,0.19669
0.095492,0.076393,0.17188
0.093812,0.093812,0.1501
0.093027,0.11163,0.13024
0.093027,0.13024,0.11163
0.093812,0.1501,0.093812
0.095492,0.17188,0.076393
0.098343,0.19669,0.059006
0.10301,0.22663,0.041205
0.11138,0.26731,0.022276
0.14652,0.38096,0
0.17157,0,0.34315
0.13106,0.021843,0.24028
0.12155,0.040515,0.20258
0.11634,0.058168,0.1745
0.11328,0.075517,0.15103
0.11163,0.093027,0.13024
0.11111,0.11111,0.11111
0.11163,0.13024,0.093027
0.11328,0.15103,0.075517
0.11634,0.1745,0.058168
0.12155,0.20258,0.040515
0.13106,0.24028,0.021843
0.17157,0.34315,0
0.19691,0,0.30942
0.15103,0.021575,0.21575
0.14044,0.040126,0.18057
0.1348,0.05777,0.15405
0.13166,0.075236,0.13166
0.13024,0.093027,0.11163
0.13024,0.11163,0.093027
0.13166,0.13166,0.075236
0.1348,0.15405,0.05777
0.14044,0.18057,0.040126
0.15103,0.21575,0.021575
0.19691,0.30942,0
0.22291,0,0.27864
0.17157,0.021447,0.19302
0.16,0.04,0.16
0.15405,0.05777,0.1348
0.15103,0.075517,0.11328
0.1501,0.093812,0.093812
0.15103,0.11328,0.075517
0.15405,0.1348,0.05777
0.16,0.16,0.04
0.17157,0.19302,0.021447
0.22291,0.27864,0
0.25,0,0.25
0.19302,0.021447,0.17157
0.18057,0.040126,0.14044
0.1745,0.058168,0.11634
0.17188,0.076393,0.095492
0.17188,0.095492,0.076393
0.1745,0.11634,0.058168
0.18057,0.14044,0.040126
0.19302,0.17157,0.021447
0.25,0.25,0
0.27864,0,0.22291
0.21575,0.021575,0.15103
0.20258,0.040515,0.12155
0.19669,0.059006,0.098343
0.19494,0.077975,0.077975
0.19669,0.098343,0.059006
0.20258,0.12155,0.040515
0.21575,0.15103,0.021575
0.27864,0.22291,0
0.30942,0,0.19691
0.24028,0.021843,0.13106
0.22663,0.041205,0.10301
0.2214,0.060382,0.080509
0.2214,0.080509,0.060382
0.22663,0.10301,0.041205
0.24028,0.13106,0.021843
0.30942,0.19691,0
0.34315,0,0.17157
0.26731,0.022276,0.11138
0.25364,0.042273,0.084547
0.25,0.0625,0.0625
0.25364,0.084547,0.042273
0.26731,0.11138,0.022276
0.34315,0.17157,0
0.38096,0,0.14652
0.29794,0.022918,0.091673
0.28517,0.043872,0.065808
0.28517,0.065808,0.043872
0.29794,0.091673,0.022918
0.38096,0.14652,0
0.42467,0,0.12133
0.33406,0.023861,0.071584
0.32433,0.046333,0.046333
0.33406,0.071584,0.023861
0.42467,0.12133,0
0.47746,0,0.095492
0.37947,0.025298,0.050596
0.37947,0.050596,0.025298
0.47746,0.095492,0
0.54582,0,0.068227
0.44444,0.027778,0.027778
0.54582,0.068227,0
0.64771,0,0.038101
0.64771,0.038101,0
1,0,0
