Norm,Angle,Obj
0.84186,0.80576,1
0.32702,0.83318,1
0.74925,0.80159,1
0.97645,0.78212,1
0.76593,0.77942,1
0.73021,0.87607,1
0.94144,0.83102,1
0.65372,0.81104,1
0.43073,0.85162,1
0.81122,0.79169,1
0.29096,0.91857,1
0.070617,0.9162,1
0.15249,0.845,1
0.96838,0.91196,3
0.15082,0.76133,1
0.29741,0.95302,2
0.52425,0.75246,1
0.71233,0.78983,1
0.18356,0.80328,1
0.74527,0.90583,1
0.90355,0.7678,1
0.81661,0.89792,1
0.82384,0.91873,1
0.2878,0.86926,1
0.41112,0.88121,1
0.79021,0.88421,1
0.24258,0.82507,1
0.42987,0.89174,1
0.66458,0.90358,3
0.19348,0.81067,1
0.89824,0.9262,3
0.3296,0.84858,1
0.13985,0.82792,1
0.58195,0.92115,2
0.45473,0.76071,1
0.06932,0.86332,1
0.45519,0.82461,1
0.75331,0.844,1
0.37254,0.90428,2
0.69371,0.89112,1
0.26133,0.94234,1
0.026718,0.93114,1
0.42129,0.86074,1
0.86114,0.86372,1
0.85205,0.79744,1
0.25425,0.83999,1
0.9364,0.89903,1
0.31442,0.8819,1
0.058156,0.90766,2
0.58176,0.87605,1
