Norm,Angle,Obj,front
0.49354,0.0039304,1,1
0.31705,0.39295,2,1
0.050538,0.30699,1,1
0.18746,0.65004,3,1
0.31679,0.086991,3,1
0.85016,0.0079191,3,1
0.28599,0.03221,2,1
0.69059,0.0092026,2,1
0.85205,0.21936,3,1
0.38841,0.69971,1,1
0.57685,0.05552,2,1
0.22151,0.53521,3,1
0.60122,0.19614,1,2
0.27807,0.7521,2,2
0.58377,0.20652,3,2
0.10599,0.92544,1,2
0.97411,0.21873,3,2
0.53606,0.25048,1,2
0.42694,0.39928,3,2
0.86396,0.14993,2,2
0.44036,0.43356,2,2
0.75712,0.016684,1,2
0.54762,0.50402,2,2
0.97756,0.19392,2,2
0.61566,0.24443,2,2
0.34353,0.06385,1,2
0.23011,0.30572,1,2
0.49023,0.68455,3,2
0.83712,0.35698,2,2
0.50495,0.415,1,2
0.40408,0.60604,3,2
0.72578,0.16156,3,2
0.69838,0.0079382,1,2
0.31664,0.4472,3,2
0.51812,0.41466,3,2
0.56125,0.10213,1,2
0.47662,0.35507,1,2
0.37748,0.21604,3,2
0.51054,0.26312,3,3
0.6885,0.22712,1,3
0.60384,0.35493,3,3
0.47271,0.51686,1,3
0.34003,0.66526,3,3
0.1551,0.67728,2,3
0.6496,0.51436,3,3
0.56955,0.5057,2,3
0.52321,0.6402,1,3
0.79885,0.42085,3,3
0.62469,0.54969,3,3
0.45643,0.29529,1,3
0.37571,0.67649,1,3
0.69357,0.62807,2,3
0.658,0.15972,1,3
0.42373,0.31651,1,3
0.61517,0.65719,2,3
0.95515,0.045367,1,3
0.72222,0.24989,3,4
0.37952,0.5666,3,4
0.40527,0.77248,3,4
0.54451,0.36646,1,4
0.42267,0.69029,1,4
0.40229,0.62039,2,4
0.55359,0.44733,3,4
0.80273,0.32473,1,4
0.61281,0.1933,2,4
0.71552,0.28266,3,4
0.70876,0.6068,1,4
0.92079,0.22906,2,4
0.2538,0.46735,2,4
0.59976,0.54004,2,4
0.48706,0.62403,3,4
0.53016,0.57799,3,4
0.42432,0.69605,1,4
0.37244,0.82189,3,4
0.8521,0.4218,3,4
0.5929,0.75943,3,5
0.55183,0.51152,1,5
0.50633,0.29064,2,5
0.46451,0.49111,2,5
0.32186,0.76201,2,5
0.44203,0.61976,1,5
0.36065,0.76044,2,5
0.36384,0.74551,2,5
0.6248,0.6233,1,5
0.69174,0.61169,3,6
0.62822,0.68036,2,6
0.57919,0.86064,2,6
0.53517,0.82399,3,6
0.4144,0.80724,1,6
0.67366,0.63233,2,6
0.66797,0.38515,2,6
0.80478,0.37179,2,6
0.54267,0.71944,2,6
0.57292,0.76342,2,7
0.72347,0.51549,2,7
0.62472,0.71543,3,7
0.61419,0.75716,1,7
0.79709,0.59171,1,7
0.70361,0.86595,3,7
0.81337,0.50249,2,7
