Norm,Angle,Obj
1.2463,0.77401,2
1.1056,0.58915,2
1.4816,0.47371,2
1.2423,0.30599,2
1.6942,0.81359,1
1.5822,0.75033,1
1.2057,0.0091004,1
1.4785,0.69695,2
1.3999,0.69643,2
1.4515,0.09497,3
1.3714,0.19105,2
1.6846,0.45387,3
1.5505,0.091294,2
0.9926,0.18874,2
1.0862,0.44128,2
1.0426,0.59896,3
0.84068,0.67342,2
1.3962,0.0071065,3
0.72369,0.50639,1
1.0383,0.74733,3
0.81644,0.20057,3
0.85665,0.1448,3
1.6667,0.29866,2
1.1766,0.1084,1
1.6133,0.58014,2
1.5244,0.52007,1
1.4359,0.14268,1
0.92055,0.56119,2
0.94407,0.46129,1
0.97692,0.39569,1
0.7354,0.25867,1
1.6317,0.34766,2
1.6633,0.63678,1
1.2899,0.55864,2
1.6533,0.30173,1
1.3619,0.19706,3
1.1402,0.42669,2
1.5677,0.25389,1
0.85464,0.49369,1
1.1555,0.76011,2
1.1954,0.58392,3
0.99968,0.85812,2
1.314,0.44749,3
1.4314,0.65097,1
1.605,0.39468,1
1.0881,0.092523,2
1.1264,0.55689,3
1.2712,0.23405,2
1.2983,0.53365,3
0.71539,0.42613,2
1.4198,0.36449,3
1.6707,0.56824,1
1.4018,0.74919,1
1.3634,0.58718,3
1.3474,0.93368,1
1.5655,0.13985,2
1.2898,0.0079821,2
0.92491,0.68914,1
0.8784,0.23624,2
1.088,0.32599,3
1.0308,0.72431,3
1.565,0.22977,1
1.3188,0.60515,1
0.76405,0.71234,2
1.1989,0.17824,1
0.78255,0.44992,2
1.2373,0.23904,3
1.5879,0.74511,1
1.087,0.59724,3
1.0598,0.37121,1
0.90828,0.15824,1
1.692,0.65961,1
1.0226,0.57303,2
1.1852,0.49673,3
1.4552,0.34332,2
1.3689,0.65243,3
0.72004,0.4382,3
1.5594,0.099725,1
1.4363,0.78065,3
1.2445,0.77068,1
0.8632,0.35348,1
1.6011,0.73334,3
0.95878,0.85901,2
0.79646,0.41715,3
1.0092,0.50618,1
0.97223,0.31584,3
1.2713,0.54306,1
1.3981,0.33637,2
0.81723,0.67505,3
1.2921,0.75392,3
1.1989,0.094099,3
0.97241,0.58513,2
1.4441,0.29943,3
1.6392,0.71935,1
1.6746,0.46257,2
1.416,0.31655,3
0.99084,0.70416,2
1.1797,0.81185,3
1.4396,0.73487,2
0.88311,0.7368,3
