Norm,Angle,Obj
1,0.042745,3
1,0.050503,1
1,0.36873,1
1,0.050969,2
1,0.28083,4
1,0.26142,3
1,0.050155,2
1,0.048028,1
1,0.044908,3
1,0.038336,2
1,0.21085,4
1,0.21993,1
1,0.40696,4
1,0.045428,2
1,0.051713,2
1,0.26048,2
1,0.052414,1
1,0.050257,2
1,0.045522,1
1,0.050527,1
1,0.21724,4
1,0.044616,4
1,0.22238,4
1,0.09358,3
1,0.043634,2
1,0.067355,4
1,0.18516,3
1,0.046408,4
1,0.049466,4
1,0.051495,1
1,0.041183,2
1,0.050031,4
1,0.24244,1
1,0.19373,1
1,0.20313,3
1,0.047414,3
1,0.042045,2
1,0.051,2
1,0.050874,1
1,0.046766,1
1,0.22314,3
1,0.049763,1
1,0.042881,1
1,0.35616,1
1,0.3757,3
1,0.051849,4
1,0.045826,2
1,0.20141,3
1,0.052304,1
1,0.1662,4
1,0.050611,1
1,0.19888,2
1,0.32225,4
1,0.18311,4
1,0.043877,3
1,0.23039,1
1,0.033224,3
1,0.039519,2
1,0.21169,2
1,0.051578,2
1,0.20775,2
1,0.20726,3
1,0.20319,1
1,0.049244,2
1,0.20758,4
1,0.041561,2
1,0.044503,1
1,0.24239,2
1,0.049479,3
1,0.049601,4
1,0.046357,2
1,0.039277,3
1,0.22365,4
1,0.19722,3
1,0.040876,1
1,0.048653,2
1,0.048753,2
1,0.048197,1
1,0.050341,4
1,0.18198,1
1,0.042328,2
1,0.089289,1
1,0.050603,1
1,0.13722,1
1,0.038583,2
1,0.18981,3
1,0.19451,4
1,0.22593,1
1,0.23777,2
1,0.045681,4
1,0.052414,1
1,0.13168,2
1,0.041488,4
1,0.045984,1
1,0.042244,2
1,0.21821,3
1,0.22694,1
1,0.043872,4
1,0.1763,2
1,0.17372,3
1,0.099359,4
1,0.20266,4
1,0.049173,1
1,0.049349,3
1,0.20296,1
1,0.049661,3
1,0.052414,1
1,0.039642,3
1,0.052414,2
1,0.38269,4
1,0.046839,2
1,0.050372,2
1,0.061639,4
1,0.17243,1
1,0.23725,4
1,0.33858,2
1,0.050779,1
1,0.36894,1
1,0.090517,3
1,0.17942,2
1,0.047339,1
1,0.04862,1
1,0.048778,2
1,0.21095,2
1,0.050148,1
1,0.04835,2
1,0.043482,4
1,0.048296,1
1,0.054338,4
1,0.049311,1
1,0.048837,3
1,0.049081,1
1,0.048646,4
1,0.043872,4
1,0.22776,2
1,0.048579,4
1,0.12208,4
1,0.048787,2
1,0.24995,2
1,0.037165,3
1,0.052799,1
1,0.044792,2
1,0.049504,3
1,0.03894,3
1,0.05727,3
1,0.36054,1
1,0.14105,1
1,0.045482,4
1,0.046456,4
1,0.21456,1
1,0.050126,1
1,0.05036,1
1,0.19155,4
1,0.051473,1
1,0.050619,2
1,0.21508,2
1,0.2036,4
1,0.2087,4
1,0.050386,3
1,0.049271,3
1,0.17123,1
1,0.049126,1
1,0.047806,1
1,0.049665,2
1,0.16971,3
1,0.044014,1
1,0.051291,2
1,0.050972,3
1,0.043511,2
1,0.37077,2
1,0.21737,4
1,0.047752,1
1,0.16713,2
1,0.038493,1
1,0.34367,3
1,0.044606,1
1,0.039532,2
1,0.045018,3
1,0.2255,4
1,0.41566,3
1,0.050655,1
1,0.048197,2
1,0.040859,3
1,0.18979,3
1,0.31599,4
1,0.23235,1
1,0.048354,3
1,0.053941,1
1,0.20837,3
1,0.35325,1
1,0.044081,1
1,0.046013,4
1,0.041549,3
1,0.038888,3
1,0.24411,3
1,0.23057,3
1,0.047049,3
1,0.045397,1
1,0.049236,3
1,0.044659,4
